iter	TotalF1	MultiClassOneVsAll
0	0.9867782618	-0.1573003717
1	0.9895126211	-0.06127951807
2	0.9918282424	-0.02699489403
3	0.992596927	-0.01396995061
4	0.9925445745	-0.008653614225
5	0.9949770953	-0.005580920654
6	0.9968532792	-0.004862051851
7	0.9975363487	-0.004999483796
8	0.9982769948	-0.004920446122
9	0.9984370741	-0.004574020838
10	0.9985852779	-0.005180760275
11	0.9987396174	-0.005168884192
12	0.9990062461	-0.005185109793
13	0.9990380376	-0.004784245932
14	0.9990626755	-0.007689452641
15	0.9989726143	-0.007041731295
16	0.9986332539	-0.007231530542
17	0.9974220687	-0.02957972174
18	0.9950023317	-0.02039763769
19	0.9601189478	-0.5150449076
20	0.981146989	-1.034852546
21	0.9965233528	-0.1219883998
22	0.9655603998	-0.7892005518
23	0.9796817494	-0.252373201
24	0.9785898773	-0.3660335466
25	0.9509764192	-1.249551127
26	0.9664902906	-2.110503971
27	0.9626367034	-3.611602
28	0.9141161214	-5.721318393
29	0.9296337047	-5.339536207
30	0.9368390466	-5.364541391
31	0.9732470836	-4.597948124
32	0.9744569065	-4.784005615
33	0.9685712466	-4.953712063
34	0.96292699	-5.580910593
35	0.9410344665	-6.631061075
36	0.9516306498	-9.604140067
37	0.9132787185	-12.66138308
38	0.9730242606	-14.30707126
39	0.9435846133	-36.82965802
40	0.9323105233	-60.94719083
41	0.9605674616	-62.01495747
42	0.9739212727	-61.17352753
43	0.9343251407	-65.67906564
44	0.9704407582	-72.24987188
45	0.9715577464	-70.69586468
46	0.9713589692	-68.86718422
47	0.9611153119	-67.71243172
48	0.974741098	-65.7034052
49	0.9560728964	-65.48606196
50	0.9713007829	-64.58118784
51	0.9585816678	-63.0681195
52	0.9728588592	-65.696736
53	0.977297832	-61.53232036
54	0.971201189	-60.52090807
55	0.9551210071	-66.41132095
56	0.9770761224	-71.33926519
57	0.9894402494	-68.32577311
58	0.9681949648	-67.44831298
59	0.9750419521	-67.80411811
60	0.9824370965	-62.48851874
61	0.9776163981	-61.40054502
62	0.9846754876	-59.38341398
63	0.9839024082	-58.1248942
64	0.98909315	-56.28988277
65	0.9862745147	-55.09162867
66	0.9737114646	-54.87719941
67	0.988967759	-53.97189166
68	0.984132435	-51.86983884
69	0.9835924278	-51.34477119
70	0.9879676613	-50.70545979
71	0.9934350405	-48.3420461
72	0.9932845408	-47.02573232
73	0.9866168872	-45.77620166
74	0.9856339732	-45.1032537
75	0.9764917713	-44.24438756
76	0.9881672894	-43.36481132
77	0.9888665243	-42.25938839
78	0.9789008361	-45.15612168
79	0.9880639485	-39.91363206
80	0.9901943477	-39.2015925
81	0.9881990398	-38.70047848
82	0.9931912906	-37.8977889
83	0.9933038547	-37.33791823
84	0.990385506	-36.90792795
85	0.989156038	-36.54006361
86	0.9882241741	-35.87695685
87	0.9872014218	-35.47063617
88	0.9926737547	-34.76567994
89	0.9941045226	-33.88818945
90	0.9945688369	-33.07513182
91	0.9938638807	-32.5308154
92	0.990851952	-31.96090406
93	0.9948537913	-31.24294114
