iter	Passed	Remaining
0	55	38919
1	112	39243
2	171	39891
3	220	38418
4	296	41166
5	347	40154
6	408	40405
7	466	40378
8	524	40295
9	577	39867
10	638	40014
11	689	39521
12	738	39019
13	797	39075
14	856	39118
15	908	38832
16	961	38640
17	1012	38346
18	1069	38343
19	1117	38004
20	1169	37811
21	1222	37674
22	1268	37350
23	1317	37098
24	1369	36983
25	1424	36938
26	1471	36687
27	1515	36364
28	1563	36170
29	1609	35955
30	1657	35769
31	1714	35784
32	1769	35773
33	1816	35587
34	1862	35395
35	1920	35421
36	1967	35249
37	2011	35043
38	2055	34842
39	2102	34699
40	2146	34506
41	2190	34316
42	2234	34134
43	2288	34123
44	2334	33974
45	2387	33945
46	2429	33755
47	2482	33723
48	2528	33587
49	2567	33373
50	2610	33223
51	2652	33059
52	2692	32873
53	2736	32735
54	2776	32564
55	2818	32409
56	2859	32256
57	2899	32096
58	2942	31968
59	2983	31823
60	3034	31784
61	3075	31643
62	3117	31524
63	3158	31392
64	3203	31294
65	3243	31157
66	3293	31118
67	3334	30989
68	3376	30877
69	3427	30849
70	3467	30722
71	3510	30615
72	3560	30585
73	3602	30478
74	3643	30359
75	3682	30237
76	3726	30151
77	3771	30076
78	3812	29965
79	3853	29867
80	3894	29760
81	3945	29735
82	3987	29639
83	4031	29565
84	4076	29494
85	4126	29463
86	4167	29367
87	4208	29268
88	4259	29239
89	4307	29196
90	4349	29110
91	4391	29024
92	4432	28927
93	4471	28826
94	4522	28804
95	4563	28709
96	4615	28693
97	4688	28803
98	4729	28712
99	4770	28623
100	4812	28539
101	4862	28504
102	4905	28431
103	4957	28409
104	5002	28346
105	5045	28273
106	5096	28244
107	5135	28152
108	5176	28064
109	5243	28125
110	5295	28100
111	5339	28034
112	5381	27954
113	5423	27878
114	5464	27799
115	5517	27778
116	5566	27738
117	5609	27665
118	5656	27616
119	5697	27537
120	5738	27457
121	5784	27403
122	5834	27368
123	5872	27278
124	5911	27192
125	5952	27115
126	6004	27090
127	6044	27012
128	6103	27015
129	6143	26937
130	6185	26865
131	6226	26794
132	6267	26717
133	6307	26643
134	6346	26560
135	6387	26491
136	6431	26431
137	6477	26381
138	6523	26329
139	6565	26263
140	6618	26237
141	6660	26173
142	6701	26104
143	6741	26028
144	6805	26048
145	6856	26017
146	6901	25962
147	6942	25895
148	6990	25849
149	7031	25783
150	7073	25716
151	7111	25638
152	7153	25574
153	7195	25511
154	7245	25477
155	7286	25408
156	7339	25385
157	7385	25336
158	7426	25269
159	7470	25214
160	7512	25151
161	7553	25084
162	7600	25039
163	7639	24968
164	7684	24914
165	7722	24842
166	7762	24775
167	7803	24712
168	7854	24678
169	7895	24614
170	7936	24552
171	7978	24491
172	8016	24420
173	8056	24354
174	8096	24289
175	8138	24229
176	8190	24201
177	8235	24151
178	8280	24100
179	8327	24058
180	8372	24007
181	8416	23954
182	8477	23950
183	8525	23907
184	8572	23864
185	8616	23810
186	8658	23752
187	8702	23699
188	8744	23642
189	8786	23585
190	8828	23528
191	8880	23495
192	8933	23468
193	8975	23410
194	9016	23351
195	9056	23288
196	9095	23223
197	9136	23163
198	9174	23098
199	9217	23043
200	9259	22987
201	9300	22928
202	9347	22884
203	9387	22823
204	9430	22771
205	9472	22715
206	9516	22663
207	9561	22616
208	9604	22562
209	9645	22506
210	9688	22453
211	9730	22398
212	9786	22374
213	9827	22318
214	9867	22258
215	9918	22225
216	9968	22188
217	10013	22140
218	10052	22078
219	10092	22019
220	10132	21960
221	10181	21921
222	10219	21860
223	10261	21804
224	10304	21754
