iter	MultiClass	Accuracy
0	-2.293595305	0.9998838717
1	-2.211638193	0.9998972229
2	-2.211378309	0.9999110605
3	-2.211123155	0.9999165964
4	-2.210835888	0.999918683
5	-2.210560321	0.9999204994
6	-2.210286497	0.9999212218
7	-2.21002014	0.9999213741
8	-2.209755278	0.9999214003
9	-2.209498132	0.999921703
10	-2.209213603	0.999922076
11	-2.208988072	0.9999222089
12	-2.208727939	0.9999220593
13	-2.20846905	0.9999219294
14	-2.208202943	0.9999220445
15	-2.207981394	0.9999217484
16	-2.174282831	0.9999217524
17	-2.17416882	0.9999224059
18	-2.174055059	0.9999229447
19	-2.173941795	0.9999224983
20	-2.173843965	0.9999219521
21	-2.173730204	0.9999211663
22	-2.17361694	0.9999207495
23	-2.173519608	0.9999201538
24	-2.173406095	0.999919018
25	-2.173308763	0.9999162568
26	-2.173195748	0.9999137606
27	-2.173098416	0.9999132619
28	-2.173000835	0.9999082906
29	-2.172902756	0.9999072912
30	-2.172790239	0.9999072024
31	-2.172692907	0.999907146
32	-2.172595824	0.9999071647
33	-2.172498492	0.9999071985
34	-2.172401658	0.99990717
35	-2.172303828	0.9999071594
36	-2.172206496	0.9999072228
37	-2.172109164	0.9999073235
38	-2.172011831	0.9999072997
39	-2.17193068	0.999907224
40	-2.171833348	0.9999069377
41	-2.171736514	0.9999068079
42	-2.171639928	0.9999067425
43	-2.171557283	0.9999065805
44	-2.1714602	0.9999063784
45	-2.171379297	0.999906542
46	-2.171281965	0.9999063489
47	-2.171200814	0.9999064027
48	-2.171103482	0.9999065229
49	-2.17102233	0.9999064974
50	-2.170941178	0.9999065462
51	-2.170844593	0.9999065541
52	-2.170762944	0.9999064623
53	-2.170681294	0.9999062606
54	-2.170600889	0.9999060759
55	-2.170503308	0.9999058497
56	-2.170422904	0.9999056352
57	-2.170341254	0.9999055865
58	-2.170259605	0.9999055583
59	-2.170178702	0.9999056765
60	-2.170098048	0.9999053517
61	-2.170016648	0.9999053279
62	-2.169935247	0.9999053073
63	-2.169854345	0.9999052441
64	-2.169773193	0.9999050719
65	-2.169701501	0.9999050157
66	-2.169626573	0.9999048091
67	-2.16954567	0.9999048826
68	-2.169464021	0.999904828
69	-2.169384363	0.9999049249
70	-2.169318396	0.9999048021
71	-2.169236995	0.9999046694
72	-2.169157835	0.9999043813
73	-2.16909162	0.9999042638
74	-2.169010717	0.9999042199
75	-2.168945248	0.9999046045
76	-2.168863848	0.999904657
77	-2.168798379	0.999904472
78	-2.168717725	0.9999039724
79	-2.168652754	0.9999034692
80	-2.168571602	0.999903783
81	-2.16850688	0.9999038472
82	-2.168442407	0.9999037101
83	-2.168360758	0.999903626
84	-2.168296035	0.9999032393
85	-2.168230567	0.9999035418
86	-2.168150162	0.9999030906
87	-2.168084942	0.9999034896
88	-2.168019473	0.9999034482
89	-2.167954751	0.9999038173
90	-2.167890029	0.9999038463
91	-2.167811117	0.9999037197
92	-2.167744404	0.9999038083
93	-2.167679184	0.9999033728
94	-2.167614462	0.9999034974
95	-2.16754974	0.999903664
96	-2.167485018	0.9999034859
97	-2.167419798	0.9999035034
98	-2.167354827	0.9999033464
99	-2.167290353	0.9999033915
100	-2.167225382	0.9999032759
