iter	Passed	Remaining
0	98	9891492
1	209	10476397
2	325	10855976
3	470	11752044
4	590	11818933
5	708	11814725
6	826	11811245
7	940	11752022
8	1055	11722330
9	1172	11724359
10	1290	11731057
11	1401	11678760
12	1512	11629456
13	1624	11599324
14	1733	11557408
15	1842	11515349
16	1957	11515614
17	2051	11397762
18	2144	11286143
19	2235	11175241
20	2326	11074077
21	2416	10982010
22	2507	10900689
23	2599	10828624
24	2690	10759972
25	2784	10708179
26	2877	10653649
27	2968	10600600
28	3061	10552568
29	3157	10522363
30	3269	10544470
31	3367	10520130
32	3464	10494192
33	3560	10468218
34	3656	10444869
35	3752	10420661
36	3846	10391234
37	3939	10363008
38	4031	10332994
39	4133	10329999
40	4229	10311620
41	4327	10298581
42	4422	10279504
43	4514	10254633
44	4607	10233520
45	4699	10211526
46	4788	10183100
47	4883	10168691
48	4979	10157052
49	5073	10141192
50	5165	10123400
51	5257	10104801
52	5348	10087029
53	5440	10069767
54	5533	10055516
55	5625	10040387
56	5721	10032445
57	5821	10031090
58	5919	10026961
59	6013	10016274
60	6109	10009440
61	6209	10009169
62	6306	10004745
63	6403	9998524
64	6499	9992561
65	6592	9981815
66	6684	9969842
67	6777	9960420
68	6870	9950922
69	6965	9944173
70	7066	9945326
71	7164	9943255
72	7257	9934284
73	7349	9924592
74	7440	9913502
75	7532	9903874
76	7625	9895175
77	7721	9892028
78	7814	9884450
79	7908	9877758
80	8001	9870603
81	8092	9860604
82	8185	9853525
83	8278	9847175
84	8370	9839771
85	8462	9831594
86	8554	9823957
87	8646	9816989
88	8740	9812285
89	8833	9806666
90	8925	9799003
91	9018	9793795
92	9111	9788367
93	9206	9784637
94	9297	9777912
95	9391	9773342
96	9484	9768497
97	9578	9764205
98	9672	9760575
99	9766	9757181
100	9863	9755496
